"id","name","parent_id","parent_name"
2938,Клетки для животных,723,Товары для животных
2939,Бочки садовые,6943,Все для садоводства
2940,Клетчатка,3109,Продукты
2941,Смузи,3109,Продукты
2942,Фитококтейли,3109,Продукты
2943,Столики автомобильные,760,Автомобильные товары
2944,Сменные пакеты для туалета,49,Красота
2945,Подушечки для обручальных колец,257,Для праздника
2946,Украшения для бутылок,257,Для праздника
2947,Украшения для посуды,257,Для праздника
2948,Программы питания,3109,Продукты
2949,Лапомойки,723,Товары для животных
2950,Украшения для автомобиля,760,Автомобильные товары
2951,Журналы учета,571,Канцелярские товары
2952,Классные журналы,571,Канцелярские товары
2953,Очки лазерные,1162,Строительные инструменты
2954,Отражатели для нивелиров,1162,Строительные инструменты
2955,Реноваторы,1162,Строительные инструменты
2956,Полуботинки,2,Обувь
2957,Аксессуары для окрашивания волос,49,Красота
2958,Специи,3109,Продукты
2959,Бандажи для животных,723,Товары для животных
2960,Ягоды сублимированные,3109,Продукты
2961,Семена пищевые,3109,Продукты
2962,Толщиномеры,1162,Строительные инструменты
2963,Проекторы отверстий,1162,Строительные инструменты
2964,Блокноты творческие,786,Книжная продукция и диски
2965,Датчики давления,760,Автомобильные товары
2966,Крепления для велокомпьютеров,1605,Спортивные аксессуары
2967,Датчики скорости велосипедные,239,Спортивный товар
2970,Зеленки,4268,Здоровье
2971,Йод,4268,Здоровье
2972,Фены для эмбоссинга,479,Электроника
2973,Чехлы для багажников,760,Автомобильные товары
2974,Синтезаторы,6260,Телевизоры и аудиотехника
2975,Молоко капсульное,3109,Продукты
2976,Костюмы-сауна,1513,Спортивная одежда
2977,Попкорн,3109,Продукты
2978,Камни декоративные,6943,Все для садоводства
2979,Ювелирные четки,204,Ювелирные украшения
2980,Скобы для степлера,571,Канцелярские товары
2981,Резаки газовые,1162,Строительные инструменты
2982,Масло растительное,3109,Продукты
2983,Мел бильярдный,239,Спортивный товар
2984,Кии бильярдные,239,Спортивный товар
2985,Наклейки на кий,239,Спортивный товар
2986,Чехлы для кия,1605,Спортивные аксессуары
2987,Треугольники бильярдные,239,Спортивный товар
2988,Держатели для мела,1605,Спортивные аксессуары
2989,Инструменты для обработки кия и наклеек,239,Спортивный товар
2990,Кухонные машины,1521,Техника для кухни
2991,Щетки для сукна,1605,Спортивные аксессуары
2992,Мосты для кия,1605,Спортивные аксессуары
2993,Столы бильярдные,239,Спортивный товар
2994,Кошельки аппаратные,479,Электроника
2995,Пылесосы строительные,1162,Строительные инструменты
2996,Толстовки для животных,723,Товары для животных
2997,Майки для животных,723,Товары для животных
2998,Юбки для животных,723,Товары для животных
2999,Куртки для животных,723,Товары для животных
3000,Средства для септиков,6945,Товары для отдыха и кемпинга
3001,Амбушюры,6260,Телевизоры и аудиотехника
3002,Футболки для животных,723,Товары для животных
3003,Рубашки для животных,723,Товары для животных
3004,Свитеры для животных,723,Товары для животных
3005,Насосы для ГСМ,760,Автомобильные товары
3006,Косынки для животных,723,Товары для животных
3007,Каши быстрого приготовления,3109,Продукты
3008,Штанги для вешалок,7580,Мебель
3009,Антистеплеры,571,Канцелярские товары
3010,Мед,3109,Продукты
3011,Крепления для нивелиров,1162,Строительные инструменты
3012,Накаблучники,739,Аксессуары для обуви
